City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
657,Pucallpa,PE,78.84,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
658,Madang,PG,84.67,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
660,Clemencia,CO,83.57,broken clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
662,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
667,Taungdwingyi,MM,84.2,broken clouds,20.0167,95.55,NayNaing MobileService
670,Greenville,US,79.21,clear sky,35.6127,-77.3663,the 5th Street Inn
675,Murwara,IN,81.23,scattered clouds,23.85,80.4,HOTEL BRIJWASI ROYAL
679,Navalgund,IN,74.25,overcast clouds,15.5667,75.3667,Naveen Park Hotel
680,Bom Jesus Da Lapa,BR,73.76,few clouds,-13.255,-43.4181,Hotel das Nações
681,Waingapu,ID,82.98,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
682,Anito,PH,83.7,scattered clouds,12.4497,125.2886,The Yellow House
683,Dryden,CA,79.05,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
684,Eirunepe,BR,74.88,overcast clouds,-6.6603,-69.8736,Atrás de você
685,Novopavlovka,RU,73.56,overcast clouds,51.2172,109.2091,Vizit
686,Siocon,PH,78.71,overcast clouds,7.7061,122.1353,ABS Hotel
687,Makakilo City,US,84.52,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
688,Mae Hong Son,TH,77.14,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
689,Ilhabela,BR,70.52,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
691,Jerantut,MY,79.43,broken clouds,3.936,102.3626,Jerantut Hill Resort
