City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Upata,VE,8.0086,-62.3989,73.18,95,98,6.04,overcast clouds
164,Gamba,GA,-2.65,10.0,75.83,91,100,3.15,overcast clouds
165,Necochea,AR,-38.5473,-58.7368,47.7,82,0,11.03,clear sky
166,Vila Velha,BR,-20.3297,-40.2925,71.55,93,90,3.0,overcast clouds
167,Vao,NC,-22.6667,167.4833,71.49,64,27,19.98,scattered clouds
168,Atuona,PF,-9.8,-139.0333,79.21,70,7,15.23,clear sky
169,Barrow,US,71.2906,-156.7887,33.82,86,75,10.36,broken clouds
170,Cidreira,BR,-30.1811,-50.2056,65.35,93,100,13.87,light rain
171,Soto La Marina,MX,23.7667,-98.2167,81.77,72,100,10.38,overcast clouds
172,Kadoma,JP,34.7333,135.5833,72.59,59,100,4.41,overcast clouds
173,Emba,KZ,48.8264,58.1442,58.46,47,92,14.03,overcast clouds
174,Santa Cruz Del Sur,CU,20.7147,-77.9956,78.94,82,21,7.81,few clouds
175,Half Moon Bay,US,37.4636,-122.4286,85.8,69,1,5.75,haze
176,Norman Wells,CA,65.282,-126.8329,37.62,97,100,8.12,overcast clouds
177,Novobiryusinskiy,RU,56.9578,97.7076,52.92,50,57,9.84,broken clouds
178,Port Blair,IN,11.6667,92.75,84.72,75,100,9.89,heavy intensity rain
179,Ostrovnoy,RU,68.0531,39.5131,39.69,78,90,12.71,overcast clouds
180,Kirakira,SB,-10.4544,161.9205,85.26,65,69,5.86,broken clouds
181,Staraya Poltavka,RU,50.4772,46.4814,55.54,96,90,7.05,light rain
182,Kerchevskiy,RU,59.946,56.2884,56.86,66,7,7.29,clear sky
183,Lodwar,KE,3.1191,35.5973,82.83,45,100,15.97,overcast clouds
184,Buraydah,SA,26.326,43.975,86.47,13,5,10.25,clear sky
185,Pangnirtung,CA,66.1451,-65.7125,30.49,96,63,0.83,broken clouds
186,Villa Carlos Paz,AR,-31.4241,-64.4978,49.39,65,11,1.99,few clouds
187,Lima,PE,-12.0432,-77.0282,62.13,92,35,6.53,scattered clouds
188,Imphal,IN,24.8167,93.95,69.71,94,90,0.0,overcast clouds
189,Natitingou,BJ,10.3042,1.3796,72.95,89,12,4.79,light rain
190,Port Elizabeth,ZA,-33.918,25.5701,54.28,63,0,8.41,clear sky
191,Kargasok,RU,59.0556,80.8572,56.16,65,100,6.11,overcast clouds
192,Harper,LR,4.375,-7.7169,77.97,88,72,4.85,light rain
193,Severo-Kurilsk,RU,50.6789,156.125,44.71,92,70,14.36,broken clouds
194,Najran,SA,17.4924,44.1277,77.41,33,2,7.7,clear sky
195,Carnarvon,AU,-24.8667,113.6333,64.47,68,75,6.91,broken clouds
196,Victor Harbor,AU,-35.5667,138.6167,62.73,80,100,1.99,overcast clouds
197,Santander,ES,43.4647,-3.8044,58.82,92,90,0.0,overcast clouds
198,Kamaishi,JP,39.2667,141.8833,71.87,57,100,10.45,overcast clouds
199,Saint George,US,37.1041,-113.5841,103.62,10,1,4.0,clear sky
200,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,1,0.51,clear sky
201,Fukue,JP,32.6881,128.8419,68.32,76,100,2.89,overcast clouds
202,Chokurdakh,RU,70.6333,147.9167,43.77,66,100,18.63,overcast clouds
203,Brokopondo,SR,4.75,-55.1667,77.7,86,100,6.6,overcast clouds
204,Mehamn,NO,71.0357,27.8492,40.41,86,18,16.87,few clouds
205,Korla,CN,41.7597,86.1469,74.03,37,93,16.08,overcast clouds
206,Caravelas,BR,-17.7125,-39.2481,72.45,91,5,6.87,clear sky
207,Nouakchott,MR,18.0858,-15.9785,80.53,41,0,15.48,clear sky
208,Guerrero Negro,MX,27.9769,-114.0611,68.14,65,100,16.69,overcast clouds
209,Chapeco,BR,-27.0964,-52.6183,63.45,77,99,2.89,overcast clouds
210,Palmer,US,42.1584,-72.3287,82.31,64,75,7.31,broken clouds
211,Samarai,PG,-10.6167,150.6667,79.2,85,85,16.46,overcast clouds
212,Guangyuan,CN,32.442,105.823,78.48,53,100,0.65,overcast clouds
213,Okrika,NG,4.7416,7.0849,75.11,93,100,3.65,overcast clouds
214,Banda Aceh,ID,5.5577,95.3222,80.89,77,40,9.19,scattered clouds
215,San Cristobal,VE,7.7669,-72.225,68.18,99,100,2.86,overcast clouds
216,Dudinka,RU,69.4058,86.1778,31.95,95,100,9.82,light snow
217,Garissa,KE,-0.4536,39.6401,73.56,83,50,15.59,scattered clouds
218,Chara,RU,56.9064,118.2631,75.09,28,72,5.7,broken clouds
219,Nogent-Le-Rotrou,FR,48.3333,1.0,51.85,88,0,6.22,clear sky
220,Olinda,BR,-8.0089,-34.8553,73.13,88,75,10.98,mist
221,Pemba,MZ,-12.974,40.5178,69.67,79,31,18.84,scattered clouds
222,Beringovskiy,RU,63.05,179.3167,37.94,89,100,1.9,overcast clouds
223,Ixtapa,MX,20.7,-105.2,82.22,78,75,11.5,broken clouds
224,Nioaque,BR,-21.1353,-55.83,75.42,36,100,4.07,overcast clouds
225,Hoquiam,US,46.9809,-123.8893,59.86,68,90,19.57,overcast clouds
226,San Rafael Del Sur,NI,11.8485,-86.4384,85.41,55,92,7.83,overcast clouds
227,Lorengau,PG,-2.0226,147.2712,78.75,88,100,7.14,overcast clouds
228,Itarema,BR,-2.9248,-39.9167,77.41,82,0,10.42,clear sky
229,Mogadishu,SO,2.0371,45.3438,79.34,81,90,14.85,overcast clouds
230,Hohhot,CN,40.8106,111.6522,75.49,20,40,5.39,scattered clouds
231,Khandyga,RU,62.6667,135.6,78.55,35,78,7.56,broken clouds
232,Vilhena,BR,-12.7406,-60.1458,69.64,66,100,2.73,overcast clouds
233,Byron Bay,AU,-28.65,153.6167,71.06,59,0,4.99,clear sky
234,Talnakh,RU,69.4865,88.3972,31.41,97,100,4.52,light snow
235,Aguada,PR,18.3794,-67.1882,79.83,91,40,1.99,scattered clouds
236,Lamar,US,33.6668,-95.5836,82.06,78,1,5.19,clear sky
237,Kizema,RU,61.113,44.8302,57.78,71,4,3.2,clear sky
238,Tuatapere,NZ,-46.1333,167.6833,49.82,75,13,1.68,few clouds
239,Tirukkoyilur,IN,11.95,79.2,81.14,73,100,3.4,overcast clouds
240,San Miguel De Cauri,PE,-10.1,-76.5833,46.27,89,92,4.09,overcast clouds
241,Kristiansund,NO,63.1115,7.732,59.05,94,90,4.61,light rain
242,Arman,RU,59.7,150.1667,42.44,91,100,6.11,overcast clouds
243,Kampene,CD,-3.6,26.6667,67.3,91,100,1.01,overcast clouds
244,Kyzyl-Suu,KG,42.3414,78.0056,61.68,59,57,1.28,broken clouds
245,Alta Floresta,BR,-9.8756,-56.0861,73.98,68,100,2.82,overcast clouds
246,Verkhnyaya Inta,RU,65.9811,60.3094,40.33,70,100,13.78,overcast clouds
247,Kaeo,NZ,-35.1,173.7833,58.06,91,100,16.11,light rain
248,Klaksvik,FO,62.2266,-6.589,49.12,97,100,10.96,overcast clouds
249,Leningradskiy,RU,69.3833,178.4167,37.09,93,100,12.57,overcast clouds
250,Chapais,CA,49.7834,-74.8492,52.43,70,98,3.91,overcast clouds
251,Bhusawal,IN,21.05,75.7667,82.99,63,99,5.19,overcast clouds
252,Porto Novo,BJ,6.4965,2.6036,76.51,88,95,2.64,overcast clouds
253,Slavutych,UA,51.5196,30.7343,54.88,87,100,5.3,overcast clouds
254,Sabzevar,IR,36.2126,57.6819,81.75,29,0,5.14,clear sky
255,Oktyabrskoye,RU,43.0645,44.7417,55.54,94,100,0.49,overcast clouds
256,Flores,GT,16.9226,-89.8994,84.52,57,100,5.93,overcast clouds
257,Coihaique,CL,-45.5752,-72.0662,40.95,75,40,4.61,scattered clouds
258,Bayangol,RU,50.6977,103.4656,59.36,79,59,8.59,broken clouds
